id;operator;vehicle;arrival;departure;distance;total distance;latitude(deg);longitude(deg);maps url;passenger exchange time;total in;total out;system errors;in1(D1L);out1(D1L);status1(D1L);in10(D8L);out10(D8L);status10(D8L);in11(D7L);out11(D7L);status11(D7L);in12(D7P);out12(D7P);status12(D7P);in13(D3L);out13(D3L);status13(D3L);in14(D3P);out14(D3P);status14(D3P);in15(D4P);out15(D4P);status15(D4P);in16(D4L);out16(D4L);status16(D4L);in17(D5L);out17(D5L);status17(D5L);in18(D5P);out18(D5P);status18(D5P);in19(D6P);out19(D6P);status19(D6P);in2(D1P);out2(D1P);status2(D1P);in20(D6L);out20(D6L);status20(D6L);in3(D2P);out3(D2P);status3(D2P);in4(D2L);out4(D2L);status4(D2L);in5(D10P);out5(D10P);status5(D10P);in6(D10L);out6(D10L);status6(D10L);in7(D9L);out7(D9L);status7(D9L);in8(D9P);out8(D9P);status8(D9P);in9(D8P);out9(D8P);status9(D8P)
32;KML4423;36;2025-03-15 07:11:08;2025-03-15 07:14:43;2431;131381;52.25132;21.0521283333333;http://maps.google.com/maps?q=52.25132%2C21.0521283333333;182;37;24;1;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;6;1;0;1;5;0;0;0;0;0;0;0;2;3;0;6;4;0;7;5;0;0;0;0;3;1;0;0;0;0;3;2;0;0;0;0;0;0;0;1;0;0;2;1;0
33;KML4423;36;2025-03-15 07:17:45;2025-03-15 07:18:29;4639;133812;52.26429;21.05171;http://maps.google.com/maps?q=52.26429%2C21.05171;11;6;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
34;KML4423;36;2025-03-15 07:21:53;2025-03-15 07:22:39;4866;138451;52.29371;21.0134783333333;http://maps.google.com/maps?q=52.29371%2C21.0134783333333;17;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;4;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;0;0
35;KML4423;36;2025-03-15 07:25:24;2025-03-15 07:26:12;8202;143317;52.33406;20.986;http://maps.google.com/maps?q=52.33406%2C20.986;21;5;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
36;KML4423;36;2025-03-15 07:30:40;2025-03-15 07:32:00;2134;151519;52.4014;20.94173;http://maps.google.com/maps?q=52.4014%2C20.94173;52;7;36;0;1;0;0;0;3;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;1;4;0;2;8;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;3;0;0;0;0;1;2;0;2;3;0;0;0;0;0;0;0
37;KML4423;36;2025-03-15 07:34:00;2025-03-15 07:36:05;2078;153653;52.41107;20.91583;http://maps.google.com/maps?q=52.41107%2C20.91583;94;3;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;1;0;0;0;0;0;0;0
38;KML4423;36;2025-03-15 07:37:47;2025-03-15 07:38:28;11286;155731;52.41552;20.88625;http://maps.google.com/maps?q=52.41552%2C20.88625;12;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0
39;KML4423;36;2025-03-15 07:43:51;2025-03-15 07:44:40;3647;167017;52.42536;20.72322;http://maps.google.com/maps?q=52.42536%2C20.72322;19;2;27;0;0;1;0;0;4;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;5;0;0;2;0;0;0;0;0;0;0
40;KML4423;36;2025-03-15 07:47:40;2025-03-15 08:15:57;3752;170664;52.44373;20.70419;http://maps.google.com/maps?q=52.44373%2C20.70419;1652;30;33;0;14;11;0;2;2;0;2;2;0;0;0;0;5;0;0;0;0;0;0;0;0;6;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
41;KML4423;36;2025-03-15 08:18:54;2025-03-15 08:19:42;11043;174416;52.42524;20.7246;http://maps.google.com/maps?q=52.42524%2C20.7246;19;49;5;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;6;1;0;7;0;0;3;2;0;0;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;0;7;0;0;5;0;0
